"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"Stam","OK","negbinomial.size",0.879435369543371,0.945682060368776,"Stam",72,TRUE
"Mrc1","OK","negbinomial.size",0.0607701997954489,0.208317791039401,"Mrc1",28,FALSE
"Cacnb2","OK","negbinomial.size",0.00275945428291695,0.020079509541797,"Cacnb2",22,FALSE
"Nsun6","OK","negbinomial.size",0.394552891762796,0.64276572201672,"Nsun6",39,TRUE
"Arl5b","OK","negbinomial.size",0.0130551096033368,0.0686321355568015,"Arl5b",125,TRUE
"Plxdc2","OK","negbinomial.size",0.000614695341079346,0.00565539900832115,"Plxdc2",566,TRUE
"Nebl","OK","negbinomial.size",0.817568480931995,0.913062826123573,"Nebl",12,FALSE
"A930004D18Rik","OK","negbinomial.size",0.769250567063751,0.889049283675371,"A930004D18Rik",17,FALSE
"Mllt10","OK","negbinomial.size",0.995434056647944,0.998016823727016,"Mllt10",157,TRUE
"Dnajc1","OK","negbinomial.size",0.000216194130601867,0.0022748088521357,"Dnajc1",320,TRUE
"Commd3","OK","negbinomial.size",0.520842554255774,0.734928664384152,"Commd3",359,TRUE
"Bmi1","OK","negbinomial.size",0.484633911807981,0.709445802184224,"Bmi1",73,TRUE
"Pip4k2a","OK","negbinomial.size",0.237220359790221,0.483275744047147,"Pip4k2a",48,TRUE
"Msrb2","OK","negbinomial.size",0.162238993371357,0.389888518061211,"Msrb2",81,TRUE
"Otud1","OK","negbinomial.size",0.221393330305561,0.465815557529874,"Otud1",85,TRUE
"Etl4","OK","negbinomial.size",0.325779413602489,0.580210443234185,"Etl4",39,TRUE
"Arhgap21","OK","negbinomial.size",0.139559741552317,0.355352525297721,"Arhgap21",206,TRUE
"Enkur","OK","negbinomial.size",0.17936118245241,0.412969264549353,"Enkur",38,TRUE
"Thnsl1","OK","negbinomial.size",0.656659036115264,0.823745791862493,"Thnsl1",18,FALSE
"Apbb1ip","OK","negbinomial.size",0.113277147209997,0.311546441950036,"Apbb1ip",106,TRUE
"Pdss1","OK","negbinomial.size",0.207575210079132,0.450094389347281,"Pdss1",16,FALSE
"Abi1","OK","negbinomial.size",0.105961938700875,0.298569143847625,"Abi1",242,TRUE
"Acbd5","OK","negbinomial.size",0.388049766796902,0.637131853567031,"Acbd5",178,TRUE
"Mastl","OK","negbinomial.size",0.2321133688393,0.47866441133846,"Mastl",20,FALSE
"Yme1l1","OK","negbinomial.size",0.58106385541526,0.776924181336762,"Yme1l1",230,TRUE
"Spopl","OK","negbinomial.size",0.1121068954152,0.309502308455957,"Spopl",86,TRUE
"Hnmt","OK","negbinomial.size",0.315284940128034,0.568385302296452,"Hnmt",40,TRUE
"Ehmt1","OK","negbinomial.size",0.958506239696654,0.980825580645364,"Ehmt1",129,TRUE
