Sample	Filename	Population
Dual1	D1.htseq	Dual
Dual2	D2.htseq	Dual
Dual3	D3.htseq	Dual
ScxGFP1	TendonGFP1.htseq	GFPuninj
ScxGFP2	TendonGFP2.htseq	GFPuninj





