Sample	Filename	Population
Tom1	TendonTOM1.htseq	Tom
Tom2	TendonTOM2.htseq	Tom
Tominj1	TendontdTomatoinj1.htseq	Tominj
Tominj2	TendontdTomatoinj2.htseq	Tominj

