Sample	Filename	Population
GFP1	TendonGFP1.htseq	GFP
GFP2	TendonGFP2.htseq	GFP
GFPinj1	TendonGFPinj1.htseq	GFPinj
GFPinj2	TendonGFPinj2.htseq	GFPinj

