Sample	Filename	Population
Dual1	TendonDual1.htseq	Dual
Dual2	TendonDual2.htseq	Dual
Tominj1	TendontdTomatoinj1.htseq	Tominj
Tominj2	TendontdTomatoinj2.htseq	Tominj

