Sample	Filename	Population
Dual1	TendonDual1.htseq	Dual
Dual2	TendonDual2.htseq	Dual
GFPinj1	TendonGFPinj1.htseq	GFPinj
GFPinj2	TendonGFPinj2.htseq	GFPinj

